participant_declaration_id,delivery_partner_id,urn
0ff8f5d9-39a0-4138-80f9-481ae7bebb5e,07185568-5649-45a9-91c4-b1049ace3ab1,137514
fe6a190c-1c52-4fe5-b5ef-acdda53ef1ea,07185568-5649-45a9-91c4-b1049ace3ab1,142154
fde3e15d-2244-47c5-977e-3e4541a7b404,07185568-5649-45a9-91c4-b1049ace3ab1,104769
84e88c23-53df-4522-9d4b-df40c97024a9,07185568-5649-45a9-91c4-b1049ace3ab1,144617
fc957ad2-7b01-425a-bcfd-01eb6cd899bd,07185568-5649-45a9-91c4-b1049ace3ab1,144617
54b95524-dcd7-49af-9b6e-eae2ccb060d7,07185568-5649-45a9-91c4-b1049ace3ab1,147262
d9bb615b-9b04-4632-9654-c89d221d1438,07185568-5649-45a9-91c4-b1049ace3ab1,147262
8c91775b-d5b1-4d93-89e7-8834611f81ff,07185568-5649-45a9-91c4-b1049ace3ab1,137612
b6dc508e-790f-4df3-a92c-c7705cfcc236,07185568-5649-45a9-91c4-b1049ace3ab1,137533
164ee6f1-f5d9-430b-a02c-8334eda6c70b,09fda33b-5c3d-46de-8c15-ff593ecf31db,144422
bfb5447a-1a85-48a2-9a3d-95862b6e94f4,0a235849-f5e8-4837-909e-e840850878aa,137767
87f836e6-83c1-449e-b933-7d2b4b18d888,0a378f65-d88d-4121-abc6-89c59c310c9d,136544
7afab317-627a-41d4-8c4e-e0baf685680a,0a378f65-d88d-4121-abc6-89c59c310c9d,121498
5e7378f3-82cb-4fc4-b8bd-354bdca85c2c,0a9cf1cf-8d2c-480a-bca9-fdde1bf1a96f,113399
90aec08b-d5b4-439f-bfc4-d7ae74e0c63d,0a9cf1cf-8d2c-480a-bca9-fdde1bf1a96f,113399
b9616d1c-47fc-4227-bfcd-1f58c9efb458,0a9cf1cf-8d2c-480a-bca9-fdde1bf1a96f,113399
98f30bf7-c3e6-4794-b3f3-1469e441b6a2,0d27a0a9-ca24-42a4-affa-14e057f6675c,149204
bb686a7c-fc36-43c9-a3cc-a2e3aab3b575,0d27a0a9-ca24-42a4-affa-14e057f6675c,110239
d30f42bf-46f8-4028-91e2-15bc1eff161d,0d27a0a9-ca24-42a4-affa-14e057f6675c,110239
414f2f6d-a77b-420a-8d12-371ec5346c4b,0d27a0a9-ca24-42a4-affa-14e057f6675c,136846
d0cb60e0-46df-4410-aa3f-392a325904ab,0d27a0a9-ca24-42a4-affa-14e057f6675c,136846
38443033-5e35-4e07-ab82-685f8621c887,0d27a0a9-ca24-42a4-affa-14e057f6675c,136781
47905755-9b90-45c3-9139-3e29ebcb4c53,0d27a0a9-ca24-42a4-affa-14e057f6675c,146377
45e4ae35-a4fa-44c3-b7f6-c2037c87dadc,10a445b0-40ef-4c11-93d3-2f2e20d79297,139804
558f3ed8-18ed-45be-a597-ad4ef23a13b3,129493af-aa11-4771-b029-3b438ce4a222,137695
8c275f05-5f34-458c-958d-5cef15c07b96,129493af-aa11-4771-b029-3b438ce4a222,136521
204c3d6a-7ee1-461c-a666-483f36a500ff,129493af-aa11-4771-b029-3b438ce4a222,110107
05a63830-0064-4692-9b7f-a8b949a45a38,129493af-aa11-4771-b029-3b438ce4a222,138166
3bbc1d29-cea1-4842-8a65-d006fd1a7ad4,129493af-aa11-4771-b029-3b438ce4a222,138166
78358a5f-291f-44db-827f-13efd964d4b9,129493af-aa11-4771-b029-3b438ce4a222,136521
08459905-c8a9-424c-8cf6-4a5c49e8f235,1371adfc-7172-436d-8f20-9a7936ea326f,141265
54bcc695-7cdd-4653-b3c5-aef4d9055da6,1371adfc-7172-436d-8f20-9a7936ea326f,143846
906f63b1-dad2-4ace-aaad-eb4337b1ccb1,1371adfc-7172-436d-8f20-9a7936ea326f,137136
3d74e41b-4647-4f93-b4a1-cbdae4ea03ca,14816035-c0d2-4f67-bbb9-3a2ddd6cd9c2,140308
ae7cf6a4-26a7-44bd-9a4b-4d62fac5ba4f,14816035-c0d2-4f67-bbb9-3a2ddd6cd9c2,115012
89e93d77-7357-48d5-abc8-795332097018,189dba9a-ac3a-4451-aa37-749259bc517d,106751
bde9068d-2a12-4f36-be63-2c2e61c93e1f,189dba9a-ac3a-4451-aa37-749259bc517d,139084
659d7462-2b1e-4561-8922-6e79882faecc,18dfa062-f68a-4d83-b0d9-49276f688773,104179
4d7cc0fb-df98-4e83-8fbe-5de4b906c286,18dfa062-f68a-4d83-b0d9-49276f688773,151995
a0205e77-0368-4211-8b9b-401ccd082256,18dfa062-f68a-4d83-b0d9-49276f688773,149608
d4d5c096-0242-4804-8eff-6271306ad8e1,1eca5cc6-61ea-4563-8426-6a52290c420a,138411
fb0241b8-181b-4cc0-9068-204a4b81d8de,1eca5cc6-61ea-4563-8426-6a52290c420a,138411
5755c290-ec99-4f34-bd11-46a699b8b952,1f35d63f-afb7-48c3-b9fa-fb1877fe12f3,135654
902b393c-9032-4dbb-b1d3-5f97569dee69,1f35d63f-afb7-48c3-b9fa-fb1877fe12f3,135654
c3ac4fe0-0467-4036-a746-b697b1aa0048,1f35d63f-afb7-48c3-b9fa-fb1877fe12f3,140394
febc9e6e-eb10-46a2-b669-12f6a9301ee1,1f35d63f-afb7-48c3-b9fa-fb1877fe12f3,140394
46812257-22cd-4f8d-8948-0dffd29b5cc5,1f918ebd-af81-4627-99e0-eb39ae37ee32,144182
e0b0897a-5782-4c99-a137-f74f2b79b536,1f918ebd-af81-4627-99e0-eb39ae37ee32,138836
fa903689-9fcd-4d62-861b-38b2321fd706,1f918ebd-af81-4627-99e0-eb39ae37ee32,136127
404610af-9f0c-4ca5-a640-8543a1006f27,2234e441-2e96-478d-92a9-ddfc5ed5e421,148684
dab5e2c0-23c4-48f2-aa43-0fe1a438f835,2234e441-2e96-478d-92a9-ddfc5ed5e421,137047
90add945-8679-4d8c-82da-4bfc698266d8,22c6284b-191e-43b5-907e-22380ed6962b,103830
9c841b13-399e-4c63-a4b0-6e5df5f877a6,22c6284b-191e-43b5-907e-22380ed6962b,103970
890447f9-e1c0-4839-9114-07825af25e4a,22c6284b-191e-43b5-907e-22380ed6962b,148340
01f58bb9-72e8-4329-8dd0-9919f2b8ff5b,263f7250-25d7-4a41-8476-b25e01c032d8,139288
52b7d665-4272-4404-9296-ab6664ab7c16,2a2a4305-dbd9-4e8f-b53f-0d33a08b51f5,136164
1957b0ea-0444-4a74-a2e5-f34c1b2026d0,2a96de71-cb75-4bf0-bf3c-ce9d8f6c7513,146793
