la_code,est_no,urn,name,source_est_type,gias_establishment_type,s41_granted,s41_revoked
936,6579,131976,Jigsaw CABAS School,Independent special school,Other independent special school,,01/02/2024
830,6016,113021,Alderwasley Hall School,Independent special school,Other independent special school,,01/02/2024
850,6017,116586,Coxlease School,Independent special school,Other independent special school,,01/02/2024
893,6107,135511,The Henslow and Evolution School,Independent special school,Other independent special school,,01/02/2024
356,6025,106162,Ashcroft School,Independent Special School,Other independent special school,,01/01/2024
815,6041,112456,Cedar House School,Independent special school,Other independent special school,,01/12/2023
937,6000,137597,Values Academy,Independent special school,Other independent special school,,01/08/2023
888,6041,135543,Aurora Keyes Barn School,Independent special school,Other independent special school,,01/07/2023
888,6111,136003,Aurora Brooklands School,Independent special school,Other independent special school,,01/05/2023
850,6030,116564,Southlands School,Independent special school,Other independent special school,,01/05/2023
878,6213,135803,Cambian Devon School,Independent special school,Other independent special school,,01/04/2023
860,6040,138243,Hopedale School,Independent special school,Other independent special school,,01/03/2023
889,6013,138884,Aurora Woodlands School,Independent special school,Other independent special school,,01/03/2023
941,6067,131802,Cambian Northampton School,Independent special school,Other independent special school,,01/03/2023
813,6005,135247,Hestia School,Independent special school,Other independent special school,,01/03/2023
873,6033,134179,Cambian Wisbech School,Independent special school,Other independent special school,,01/03/2023
908,6095,129252,Three Bridges,Independent special school,Other independent special school,,01/03/2023
926,6133,121246,Sheridan House School,Independent special school,Other independent special school,,01/03/2023
888,6032,131163,Red Rose School,Independent special school,Other independent special school,,01/03/2023
212,6408,101175,Centre Academy London,Independent special school,Other independent special school,,01/12/2022
838,7907,139249,Sheiling College,Special post-16 institution,Special post 16 institution,,01/12/2022
838,6004,113952,Sheiling School,Independent special school,Other independent special school,,01/12/2022
855,6033,141127,Hardwick House School,Independent special school,Other independent special school,,01/12/2022
855,6025,135218,Trinity College,Independent special school,Other independent special school,,01/12/2022
202,7904,,Elfrida Rathbone Camden - Leighton Education Project,Special post-16 institution,,,01/12/2022
371,6011,106817,Fullerton House School,Independent special school,Other independent special school,,01/12/2022
811,6012,133429,Cambian Beverley School,Independent special school,Other independent special school,,01/12/2022
839,6013,148031,The Lion Works School,Independent special school,Other independent special school,,01/12/2022
840,6013,139329,North East Centre for Autism - Aycliffe School,Independent special school,Other independent special school,,01/10/2022
394,6015,108877,Thornhill Park School,Independent special school,Other independent special school,,01/10/2022
916,7905,132067,William Morris College,Special post-16 institution,Special post 16 institution,,01/08/2022
384,7904,131958,Camphill Wakefield (Pennine Camphill Community Ltd),Special post-16 institution,Special post 16 institution,,01/08/2022
936,6584,134833,Undershaw Education Trust,Independent special school,Other independent special school,,01/07/2022
936,6590,135407,Papillon House,Independent special school,Other independent special school,,01/07/2022
891,6036,136039,Wings School Notts,Independent special school,Other independent special school,,01/07/2022
830,6016,113021,Alderwasley Hall School,Independent special school,Other independent special school,,01/07/2022
830,6024,132120,Pegasus School,Independent special school,Other independent special school,,01/07/2022
359,7902,146045,My Life Learning,Special post-16 institution,Special post 16 institution,,01/07/2022
933,7905,131878,Farleigh Further Education College - Frome,Special post-16 institution,Special post 16 institution,,01/07/2022
