la_code,est_no,urn,name,source_est_type,gias_establishment_type,s41_granted,s41_revoked
933,6195,131016,Newbury Manor School,Independent special school,Other independent special school,01/09/2014,
860,7900,146526,Newfriars College,Special post-16 institution,Special post 16 institution,01/08/2019,
330,6142,149864,New Perspectives School,Independent Special School,Other independent special school,01/08/2024,
202,7905,144813,NHS England (Choices College),Special post-16 institution,Special post 16 institution,01/08/2021,
310,7904,141311,Nisai Virtual Academy Ltd,Special post-16 institution,Special post 16 institution,01/09/2014,
885,6040,136262,Norton College,Independent special school,Other independent special school,01/12/2014,
916,6021,146519,Norton College Tewkesbury,Independent Special School,Other independent special school,01/08/2024,
342,6004,104839,Progress Arc  Billinge School,Independent special school,Other independent special school,01/08/2015,
908,6003,140942,Oak Tree School,Independent special school,Other independent special school,01/08/2023,
878,7905,131947,Oakwood Specialist College,Special post-16 institution,Special post 16 institution,01/09/2014,
850,7902,150316,Oarsome Chance,Special post-16 institution,Special post 16 institution,01/08/2023,
888,6094,131575,Oliver House School,Independent special school,Other independent special school,01/09/2014,
878,6071,145181,On Track Education Barnstaple,Independent special school,Other independent special school,01/08/2018,
878,6060,131715,On Track Education Totnes,Independent special school,Other independent special school,01/12/2014,
873,6041,133570,On Track Education Wisbech,Independent special school,Other independent special school,01/12/2014,
878,6088,148805,On Track Education West Yarner,Independent special school,Other independent special school,01/08/2022,
664,6004,402199,Chestnut Hill,Independent special school,Welsh establishment,01/08/2023,
319,7904,131948,Orchard Hill College,Special post-16 institution,Special post 16 institution,01/08/2016,
845,6007,114660,Compass Community School Pinetree Park,Independent special school,Other independent special school,01/12/2014,
212,6405,134145,Park House School,Independent special school,Other independent special school,01/11/2017,
931,6115,123326,Park School,Independent special school,Other independent special school,01/08/2018,
392,6011,135001,Parkside House School,Independent special school,Other independent special school,01/08/2022,
663,7904,402190,Pengwern College,Special post-16 institution,Welsh establishment,01/09/2014,
211,7900,147609,Phoenix Autism Trust,Special post-16 institution,Special post 16 institution,01/08/2019,
352,7901,149344,Pinc College,Special post-16 institution,Special post 16 institution,01/08/2022,
891,7904,131959,Portland College,Special post-16 institution,Special post 16 institution,01/09/2014,
878,6039,113616,Quay View School,Independent special school,Other independent special school,01/08/2022,
330,7904,131963,Queen Alexandra College,Special post-16 institution,Special post 16 institution,01/09/2014,
884,6011,131353,Queenswood School,Independent special school,Other independent special school,01/09/2014,
350,6004,143026,Raise Education and Wellbeing School,Independent special school,Other independent special school,01/08/2017,
330,6080,103588,Red Boots School (National Institute of Conductive Education),Independent special school,Other independent special school,01/08/2017,
861,7904,131968,Regent College,Special post-16 institution,Special post 16 institution,01/09/2014,
381,6015,141608,Riverbank Primary School,Independent special school,Other independent special school,01/04/2015,
878,7910,145154,ROC College (part of United Response),Special post-16 institution,Special post 16 institution,01/08/2017,
212,6041,136110,Roehampton Gate School,Independent special school,Other independent special school,01/09/2014,
888,6095,135092,Roselyn House School,Independent special school,Other independent special school,01/08/2017,
888,6020,119845,Rossendale School,Independent special school,Other independent special school,01/09/2014,
356,7900,139218,Royal College Manchester (Seashell Trust),Special post-16 institution,Special post 16 institution,01/09/2014,
206,7900,144786,Royal Mencap Society,Special post-16 institution,Special post 16 institution,01/08/2019,
860,6024,132735,Rugeley School,Independent special school,Other independent special school,01/08/2018,
916,8223,133036,Ruskin Mill College,Special post-16 institution,Special post 16 institution,01/08/2015,
895,7900,148194,Safe Opportunities,Special post-16 institution,Special post 16 institution,28/08/2020,
933,6185,123933,Sedgemoor Manor School,Independent special school,Other independent special school,01/08/2022,
874,7904,132011,Sense College,Special post-16 institution,Special post 16 institution,01/09/2014,
855,7905,131990,Sense College Loughborough,Special post-16 institution,Special post 16 institution,01/09/2014,
307,6012,148415,Seva Education,Independent special school,Other independent special school,01/08/2023,
926,6133,121246,Sheridan House School,Independent special school,Other independent special school,01/08/2025,
855,6026,135217,Sketchley School,Independent special school,Other independent special school,01/09/2014,
813,7901,145153,Skills Centre PLUS,Special post-16 institution,Special post 16 institution,01/08/2017,
933,6203,133527,Somerset Progressive School,Independent special school,Other independent special school,01/12/2014,
839,7900,146044,South West Regional Assessment Centre,Special post-16 institution,Special post 16 institution,01/08/2022,
850,6032,116584,St Edward's School,Independent special school,Other independent special school,01/08/2016,
916,7906,139250,St Martins Centre (St Roses School),Special post-16 institution,Special post 16 institution,01/09/2014,
330,6115,135208,St Paul's School,Independent special school,Other independent special school,01/04/2015,
936,7907,141241,St Piers College (Young Epilepsy),Special post-16 institution,Special post 16 institution,01/09/2014,
919,7904,132015,St Elizabeth's Centre,Special post-16 institution,Special post 16 institution,01/08/2024,
846,7904,132016,St. John's College (Brighton),Special post-16 institution,Special post 16 institution,01/09/2014,
861,7905,132021,Strathmore College,Special post-16 institution,Special post 16 institution,01/09/2014,
885,6024,117033,Sunfield Garden School and Children's Home,Independent special school,Other independent special school,01/09/2014,
886,7908,144792,SupaJam Education In Music and Media,Special post-16 institution,Special post 16 institution,01/08/2017,
383,7904,141313,Swarthmore Education Centre,Special post-16 institution,Special post 16 institution,01/08/2018,
679,6014,402045,Talocher School,Independent special school,Welsh establishment,01/09/2014,
210,7900,143526,The Autism Project - CareTrade,Special post-16 institution,Special post 16 institution,01/08/2016,
926,6032,148395,The Damara School,Independent Special School,Other independent special school,01/08/2024,
895,7904,131860,The David Lewis Centre,Special post-16 institution,Special post 16 institution,01/09/2014,
850,7905,131891,The Fortune Centre of Riding Therapy,Special post-16 institution,Special post 16 institution,01/09/2014,
855,6010,120330,The Grange Therapeutic School,Independent special school,Other independent special school,01/08/2015,
309,7900,151473,The Harington Scheme Ltd,Special post-16 institution,Special post 16 institution,01/08/2021,
860,6042,142516,The Haven School,Independent special school,Other independent special school,01/08/2019,
359,6004,146988,The Holden School,Independent special school,Other independent special school,28/08/2020,
846,6043,131356,The Lioncare School,Independent special school,Other independent special school,01/09/2018,
850,6005,116589,The Loddon School,Independent special school,Other independent special school,01/09/2014,
845,7904,131923,The Mount Camphill Community Ltd,Special post-16 institution,Special post 16 institution,01/09/2014,
936,7904,131950,Orpheus Centre,Special post-16 institution,Special post 16 institution,01/09/2014,
825,6031,131462,The Pace Centre,Independent special school,Other independent special school,01/08/2016,
359,6000,137821,The Parks School,Independent special school,Other independent special school,01/12/2014,
371,7906,142921,The Ridge Employability College,Special post-16 institution,Special post 16 institution,01/08/2018,
884,7905,133108,Royal National College for the Blind,Special post-16 institution,Special post 16 institution,01/09/2014,
857,6004,131018,The Shires,Independent special school,Other independent special school,28/08/2020,
857,6006,142635,The Shires at Oakham,Independent special school,Other independent special school,28/08/2020,
881,6078,148422,The Tower School,Independent special school,Other independent special school,01/08/2021,
332,6009,145563,The Wenlock School,Independent special school,Other independent special school,01/08/2023,
878,6072,145549,Tor View School,Independent special school,Other independent special school,01/08/2022,
212,6003,145164,Tram House School,Independent special school,Other independent special school,01/11/2017,
850,8225,132980,Treloar College,Special post-16 institution,Special post 16 institution,01/09/2014,
330,7906,141703,Trinity Specialist College,Special post-16 institution,Special post 16 institution,01/08/2018,
